City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Traffic_Volume,Temperature,Humidity,AQI,AQI_Category
Chennai,2023-01-01,52.187895892097856,88.96258725097059,28.987393018322564,7.1135695306573865,1.7730137875067076,55.79037693817869,1326.8609749229922,29.302372944799302,42.5415140827374,140.23088493012835,Unhealthy for Sensitive Groups
Kolkata,2023-01-02,64.51533247797384,57.44626849714447,41.22993334620341,12.726759216569622,0.21875322069868952,51.84968760457877,1709.622331599992,39.9602424778867,75.8976743350409,151.5633739905495,Unhealthy
Bangalore,2023-01-03,59.620184634734265,67.2092721138337,46.85920606922862,24.5581028950155,1.1916948288370455,69.75915485988439,568.3839696829391,17.496251760421817,75.40559168804278,195.54120853746036,Unhealthy
Kolkata,2023-01-04,54.477680485582624,114.45337127590264,61.8373348322015,22.15717750059098,1.147090621251151,56.15236932563281,932.421207252594,31.15180180691522,88.76741562735589,115.28191565530219,Unhealthy for Sensitive Groups
Kolkata,2023-01-05,34.190510891093766,83.39811231613294,50.56759809737085,4.017124388151489,0.9731818062041586,51.99037351408014,286.47050203800154,21.581825328523838,53.14974354777188,78.62449881594526,Moderate
Mumbai,2023-01-06,59.42936714271991,36.851660650479,51.835850310632786,17.811839202817612,2.0631132728178163,15.51502673731948,1057.7954597944074,23.962930061686123,75.39222815451384,164.80212094268734,Unhealthy
Bangalore,2023-01-07,87.64048992950067,107.5768680372561,41.257399418940416,0.8258019949984821,0.7563352705721144,36.50080427124834,1109.6182725775423,21.575113328373483,60.74439907452902,178.64341255424205,Unhealthy
Bangalore,2023-01-08,76.90840092309955,59.95567743383018,61.15688717805256,15.375479216482956,1.5858980886178307,71.91627602001394,988.2513653671722,22.145141532672913,82.85712477790223,192.8375526914055,Unhealthy
Bangalore,2023-01-09,81.86373253278794,136.19893328652637,46.14644193939246,30.182136133967816,1.3781263943530417,102.89769077831735,803.639928700507,49.77529718325194,80.32944165017213,150.4597184542293,Unhealthy
Kolkata,2023-01-10,39.7756864713763,112.40144197143945,27.083681347396443,7.41685826184811,1.830759626267758,57.561865406359416,385.1456451435024,34.755646976573324,68.16814098836684,114.80141154879753,Unhealthy for Sensitive Groups
Chennai,2023-01-11,30.207903594828384,66.58034313023747,61.050549551877864,8.325415636067344,0.8664054576112472,68.19527683935308,1112.0601050235307,36.81390289428967,59.9070476500102,76.84962587342086,Moderate
Bangalore,2023-01-12,47.48426159800704,118.4304908520534,50.46854908808541,21.112238252582877,0.8335155504381204,83.81195392382014,1436.6303451745976,31.93594789469197,79.41398267912392,161.0237549154553,Unhealthy
Kolkata,2023-01-13,51.114498245773895,82.0356653158221,33.354339683072766,2.6575878783228326,1.7480349537386992,39.72765159499376,822.6944632799704,15.149945692784335,74.70356784884848,112.05215431749758,Unhealthy for Sensitive Groups
Mumbai,2023-01-14,71.88383036941897,105.58321025366658,32.80760548901135,9.937959760919687,1.4126606541650553,69.17035108213605,1132.0179787069435,31.159663762586458,54.73339396870726,215.80267771993837,Very Unhealthy
Chennai,2023-01-15,16.150707405703614,94.54198451883424,44.448633177111425,19.77152910065402,0.42753132666162064,41.487747341696036,529.5567059739849,36.58343691605877,45.08301989780854,95.0442330367517,Moderate
Mumbai,2023-01-16,80.59100638921228,54.6093003502738,46.94777192901377,9.925713218484775,0.9303474927683648,81.62061096227528,1137.1639191077543,21.172804207687108,60.672006489773054,173.05377698596817,Unhealthy
Chennai,2023-01-17,46.839842028420215,60.69350503047614,42.9593839844681,13.112240102312228,1.3931913269240304,63.78507619879331,881.9853106766029,35.72261333728901,87.73120723022313,120.52771210700149,Unhealthy for Sensitive Groups
Kolkata,2023-01-18,41.4623786010516,110.89882452743484,44.66963010164327,20.953485682520277,1.6188821107732945,67.46129534953599,771.2746148191256,33.63468967883263,82.19730738099557,114.61902202002962,Unhealthy for Sensitive Groups
Delhi,2023-01-19,29.75791249479665,69.95674003680378,65.49936061864571,18.37236866829249,0.8603846734035224,40.43503506453527,771.8909076351608,42.81632035850936,48.31508795494129,74.3179746966733,Moderate
Chennai,2023-01-20,16.902866562684615,67.8905461027401,56.073147283523284,17.134547170363216,0.2571279949084706,77.67580899026962,881.916525390097,24.65773589989105,47.48363876150118,60.93280567440442,Moderate
Mumbai,2023-01-21,66.46341167923829,51.34632261951941,42.85953386897536,12.28702176583969,1.4616115928685165,112.1178230307754,1114.7299947077606,19.219112141794184,84.12025774519229,173.47521965358806,Unhealthy
Kolkata,2023-01-22,51.466359343768076,92.70797196780383,54.11965871151225,17.960488922151644,0.589839655028012,34.80220761429484,606.3510396413446,25.106975125019634,47.965461428632565,147.45320410776284,Unhealthy for Sensitive Groups
Chennai,2023-01-23,24.200782005178922,141.87574757729436,24.512141447086908,14.010138559201947,0.19133060093879428,51.5060248088119,880.8654005296441,39.48456794530899,72.63942985463012,68.88914937523282,Moderate
Delhi,2023-01-24,24.09842455872768,47.97401257237181,45.968905749202136,18.662444879406276,0.21616296249207045,65.79018685420229,987.5584666002557,13.372752953264296,55.75893176995514,72.5927569601095,Moderate
Delhi,2023-01-25,43.28430601419743,80.72658370018274,67.13959524599665,11.024543799056174,1.6069904300988704,79.66015529989541,670.2882326404422,11.452994276551742,89.25567386782524,99.48289288599138,Moderate
Bangalore,2023-01-26,83.38043050578786,122.36661666246287,36.729311569114394,13.539448204963671,1.2643087252024832,46.011342867763275,1538.9995605025051,28.715162231452908,53.44362801293182,182.48124176262087,Unhealthy
Bangalore,2023-01-27,44.8081729727279,77.61075826262855,27.28549107071373,7.080337659583889,1.087171809643874,10.825757253568497,743.9513559815975,24.459285657806753,82.15042295308743,128.96722527427062,Unhealthy for Sensitive Groups
Mumbai,2023-01-28,19.937140937637878,93.57115388749202,30.21866667110409,14.719939119950112,1.8945121814813808,93.97973735410062,799.1689259099528,28.061823145405477,67.77287981090547,75.6370235976577,Moderate
Chennai,2023-01-29,45.085138718281115,48.128194155593604,23.655504439864174,8.511993090969241,1.5186623415115363,79.01265298960357,706.5076150532507,35.56249416988692,68.7829228135143,121.74759424666784,Unhealthy for Sensitive Groups
Chennai,2023-01-30,44.54552860504659,92.84921291622946,28.22857137808445,6.087628398704053,2.008150021360958,16.426311737833373,1539.544026141435,23.57944523104918,35.44537127972899,120.60863121841318,Unhealthy for Sensitive Groups
